Open_Closed,WhoAff,PopAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,juvs,both,5400,0.014,0.119,1,6,5,11,25,14,0.35,0.965064,0.959832,0.958348
open,juvs,both,5400,0.014,0.119,1,6,5,11,26,15,0.35,0.969628,0.960408,0.958308
open,juvs,both,5400,0.014,0.119,1,6,5,11,0,-11,0.4,0.499364,0.498002,0.498002
open,juvs,both,5400,0.014,0.119,1,6,5,11,1,-10,0.4,0.607678,0.578806,0.589462
open,juvs,both,5400,0.014,0.119,1,6,5,11,2,-9,0.4,0.69097,0.673342,0.673976
open,juvs,both,5400,0.014,0.119,1,6,5,11,3,-8,0.4,0.767992,0.747658,0.752296
open,juvs,both,5400,0.014,0.119,1,6,5,11,4,-7,0.4,0.801676,0.780404,0.784042
open,juvs,both,5400,0.014,0.119,1,6,5,11,5,-6,0.4,0.836802,0.826328,0.814024
open,juvs,both,5400,0.014,0.119,1,6,5,11,6,-5,0.4,0.881598,0.853698,0.85764
open,juvs,both,5400,0.014,0.119,1,6,5,11,7,-4,0.4,0.903568,0.867896,0.882554
open,juvs,both,5400,0.014,0.119,1,6,5,11,8,-3,0.4,0.919392,0.85145,0.895282
open,juvs,both,5400,0.014,0.119,1,6,5,11,9,-2,0.4,0.94723,0.845322,0.925148
open,juvs,both,5400,0.014,0.119,1,6,5,11,10,-1,0.4,0.972264,0.835906,0.948042
open,juvs,both,5400,0.014,0.119,1,6,5,11,11,0,0.4,0.984878,0.815526,0.957132
open,juvs,both,5400,0.014,0.119,1,6,5,11,12,1,0.4,0.989044,0.810482,0.96011
open,juvs,both,5400,0.014,0.119,1,6,5,11,13,2,0.4,0.988378,0.829372,0.961268
open,juvs,both,5400,0.014,0.119,1,6,5,11,14,3,0.4,0.983838,0.842342,0.958716
open,juvs,both,5400,0.014,0.119,1,6,5,11,15,4,0.4,0.976842,0.867512,0.955914
open,juvs,both,5400,0.014,0.119,1,6,5,11,16,5,0.4,0.971632,0.883324,0.952768
open,juvs,both,5400,0.014,0.119,1,6,5,11,17,6,0.4,0.958452,0.894364,0.940856
open,juvs,both,5400,0.014,0.119,1,6,5,11,18,7,0.4,0.969314,0.920658,0.943606
open,juvs,both,5400,0.014,0.119,1,6,5,11,19,8,0.4,0.955328,0.916986,0.944044
open,juvs,both,5400,0.014,0.119,1,6,5,11,20,9,0.4,0.961776,0.930786,0.94725
open,juvs,both,5400,0.014,0.119,1,6,5,11,21,10,0.4,0.967858,0.945312,0.95377
open,juvs,both,5400,0.014,0.119,1,6,5,11,22,11,0.4,0.964642,0.949354,0.9471
open,juvs,both,5400,0.014,0.119,1,6,5,11,23,12,0.4,0.958864,0.946716,0.94653
open,juvs,both,5400,0.014,0.119,1,6,5,11,24,13,0.4,0.96096,0.95722,0.948684
open,juvs,both,5400,0.014,0.119,1,6,5,11,25,14,0.4,0.969536,0.96226,0.961408
open,juvs,both,5400,0.014,0.119,1,6,5,11,26,15,0.4,0.966686,0.960572,0.953252
open,juvs,both,5400,0.014,0.119,1,6,5,11,0,-11,0.45,0.4957,0.498002,0.498002
open,juvs,both,5400,0.014,0.119,1,6,5,11,1,-10,0.45,0.593946,0.590394,0.589998
open,juvs,both,5400,0.014,0.119,1,6,5,11,2,-9,0.45,0.694304,0.683302,0.690368
open,juvs,both,5400,0.014,0.119,1,6,5,11,3,-8,0.45,0.768964,0.756162,0.750188
open,juvs,both,5400,0.014,0.119,1,6,5,11,4,-7,0.45,0.80605,0.79788,0.794292
open,juvs,both,5400,0.014,0.119,1,6,5,11,5,-6,0.45,0.844012,0.836954,0.84088
open,juvs,both,5400,0.014,0.119,1,6,5,11,6,-5,0.45,0.871418,0.86825,0.870884
open,juvs,both,5400,0.014,0.119,1,6,5,11,7,-4,0.45,0.90908,0.881284,0.90118
open,juvs,both,5400,0.014,0.119,1,6,5,11,8,-3,0.45,0.922894,0.86668,0.91303
open,juvs,both,5400,0.014,0.119,1,6,5,11,9,-2,0.45,0.946082,0.861258,0.928066
